Country Name,GDP per capita
Aruba,37583.8403229292
Africa Eastern and Southern,3591.09980941993
Africa Western and Central,3998.9518757009
Angola,7027.14663413223
Albania,12078.7993344718
Arab World,13594.6764814809
United Arab Emirates,68853.8197724917
Argentina,20307.870052142
Armenia,10966.8533270074
Antigua and Barbuda,20790.4191719618
Australia,47249.4348152753
Austria,52684.0171130768
Azerbaijan,14371.0227410092
Belgium,48597.3999826201
Bangladesh,4558.56389477538
Bulgaria,20074.26478835
Bahrain,45281.3019203255
"Bahamas, The",32341.2098064249
Bosnia and Herzegovina,12716.4099010632
Belarus,17785.9431970966
Belize,9161.6250471445
Bermuda,76362.0514142141
Bolivia,7345.82684281583
Brazil,14208.1611051807
Barbados,16370.7456228065
Brunei Darussalam,55477.4693975286
Bhutan,10275.1605932496
Botswana,15277.0423219562
Canada,46472.3402486315
Central Europe and the Baltics,27749.2028281011
Switzerland,68105.1549836834
Chile,23492.2878562645
China,13483.3772665228
Cote d'Ivoire,4650.67006394623
Cameroon,3559.13512043726
"Congo, Rep.",3687.58094927215
Colombia,13971.3395877313
Comoros,3053.30258484962
Cabo Verde,6014.3055536343
Costa Rica,18898.075223414
Caribbean small states,15493.7169219521
Curacao,23953.9407980131
Cayman Islands,66970.3135899715
Cyprus,35878.4140625
Czechia,36097.7052556977
Germany,50579.6839299266
Djibouti,4263.13340598945
Dominica,12159.6207660102
Denmark,51976.0057060956
Dominican Republic,15911.1543901247
Algeria,11685.4514179182
East Asia & Pacific (excluding high income),12296.3368499428
Early-demographic dividend,8552.75489211046
East Asia & Pacific,15609.0996718492
Europe & Central Asia (excluding high income),19571.836933689
Europe & Central Asia,32333.8129033371
Ecuador,11068.8568481159
"Egypt, Arab Rep.",10593.7478005893
Euro area,43529.8514547481
Spain,37286.2134326488
Estonia,31312.7522996878
European Union,40548.841830264
Fragile and conflict affected situations,4440.90614490596
Finland,44934.4482077785
Fiji,11999.677660921
France,42924.613626021
"Micronesia, Fed. Sts.",3381.8582444418
Gabon,13749.8325459881
United Kingdom,44635.2995586517
Georgia,12858.4834001898
Ghana,4811.5728157153
Equatorial Guinea,17771.5627993416
Greece,27511.8010160972
Grenada,13810.3877507994
Guatemala,8221.74642722194
Guyana,11479.4620067513
High income,46515.9124477716
"Hong Kong SAR, China",57225.0899950887
Honduras,5043.87148926827
Croatia,25260.2169300482
Haiti,3120.34010827655
Hungary,27947.6376911698
IBRD only,11903.7504107477
IDA & IBRD total,9789.90795679121
IDA total,3503.75114529217
IDA blend,4829.80246479036
Indonesia,10482.6989966051
India,5778.26961388029
Ireland,71498.6010072841
"Iran, Islamic Rep.",14661.8394415995
Iraq,8920.04123490082
Iceland,53480.3971946764
Israel,37843.1946259033
Italy,39926.9546628592
Jamaica,9533.83956168065
Jordan,9056.90987137048
Japan,40596.9686628994
Kazakhstan,23818.8248260141
Kenya,4025.84174664847
Kyrgyz Republic,4681.17473284248
Cambodia,3708.36910865107
St. Kitts and Nevis,27952.8489031695
"Korea, Rep.",39575.4542830031
Kuwait,43678.5163224538
Latin America & Caribbean (excluding high income),14762.0292857842
Lao PDR,6798.3603075641
Lebanon,16588.0866297261
Libya,21871.7681024275
St. Lucia,14584.5301497227
Latin America & Caribbean,15315.7139326468
Sri Lanka,13056.6422542202
Lower middle income,6555.49686977468
Low & middle income,9489.52470757884
Late-demographic dividend,15206.734242977
Lithuania,30925.1708493589
Luxembourg,113365.176082265
Latvia,26721.7261996962
"Macao SAR, China",112351.277234358
Morocco,7693.05712890625
Moldova,10606.6321057026
Maldives,18225.9685700942
Middle East & North Africa,15543.487861836
Mexico,19612.148487106
Marshall Islands,4294.6629352265
Middle income,10344.427003107
North Macedonia,15137.934516666
Malta,39705.641866685
Myanmar,4120.73716894824
Middle East & North Africa (excluding high income),10270.8473342522
Montenegro,18199.3071248919
Mongolia,10832.4825380075
Mauritania,4829.60432505139
Mauritius,21313.306352312
Malaysia,24864.0453270215
North America,56724.7631310751
Namibia,10582.8182274726
Nigeria,5159.58044445014
Nicaragua,5618.0665457118
Netherlands,52288.4150841353
Norway,58939.9126133093
Nauru,12492.7676687247
New Zealand,39933.5744436033
OECD members,41788.9124284629
Oman,33800.292052506
Other small states,20675.4439612994
Pakistan,4733.54610150774
Panama,27902.7681266779
Peru,11933.6003263784
Philippines,7614.7731934884
Palau,18022.4426213912
Papua New Guinea,3851.26492650684
Poland,28165.8365529133
Pre-demographic dividend,3406.34527257266
Puerto Rico,34346.8673317443
Portugal,31607.7542431733
Paraguay,13024.1498931552
West Bank and Gaza,6305.39180301552
Pacific island small states,6770.46962244934
Post-demographic dividend,45709.0268223748
Qatar,84998.4679248948
Romania,23904.7038569418
Russian Federation,24128.0859375
South Asia,5519.96466504678
Saudi Arabia,44160.2880081304
Sudan,4813.86865234375
Senegal,3126.43188474113
Singapore,89436.5981121399
El Salvador,8174.47412527597
San Marino,56893.4722345373
Serbia,15858.0108189497
Sub-Saharan Africa (excluding high income),3753.68382369069
Sub-Saharan Africa,3755.79192378535
Small states,18881.353095223
Sao Tome and Principe,3862.7080404402
Suriname,14633.1925874059
Slovak Republic,29645.7418912454
Slovenia,33936.0440637175
Sweden,50430.2528196052
Eswatini,8488.44930368192
Sint Maarten (Dutch part),38230.0318635575
Seychelles,26824.7540518558
Turks and Caicos Islands,25190.0642502523
East Asia & Pacific (IDA & IBRD countries),12433.8759919627
Europe & Central Asia (IDA & IBRD countries),20526.3705472436
Thailand,16231.25449294
Tajikistan,3092.85361084195
Turkmenistan,13375.2289810647
Latin America & the Caribbean (IDA & IBRD countries),15231.3790974807
Timor-Leste,3117.11193933486
Middle East & North Africa (IDA & IBRD countries),10317.3547539337
Tonga,5926.57662855537
South Asia (IDA & IBRD),5519.96466504678
Sub-Saharan Africa (IDA & IBRD countries),3755.79192378535
Trinidad and Tobago,25968.1719964993
Tunisia,10634.5016243613
Turkiye,26122.11330064
Tuvalu,4049.09249928773
Ukraine,11148.1962890625
Upper middle income,15279.804649424
Uruguay,22522.6242966631
United States,57866.7449341091
Uzbekistan,6796.90489209483
St. Vincent and the Grenadines,13530.4666367703
Vietnam,8277.68412933015
World,15517.2861192653
Samoa,6098.96611634401
Kosovo,10007.6892341976
South Africa,13696.1635674374
Zambia,3322.57891790844
